"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"LAMB3",2.1461324817251,7.09011879423447,13.9831035694003,5.78596825440823e-33,1.1556892991355e-28,64.0953602863109,"Upregulated"
"AHNAK2",1.96382628676903,6.85109535390478,13.6592850942691,7.14810521699808e-32,5.94191784888992e-28,61.6267180327656,"Upregulated"
"TMPRSS4",2.44340136550765,6.60231696408799,13.6306553901077,8.92447859550904e-32,5.94191784888992e-28,61.4087585064107,"Upregulated"
"LAMC2",2.49704463357051,7.67116757143281,13.5000966571306,2.45378857505428e-31,1.22529932495336e-27,60.4155013575939,"Upregulated"
"SLC2A1",1.93201927842293,8.31974570922408,12.5929996426098,2.65412850837112e-28,1.0602712565241e-24,53.5539735097814,"Upregulated"
"TSPAN1",2.515557770036,7.78472258930883,12.5490412008067,3.71540466563373e-28,1.23685821318947e-24,53.2235891130153,"Upregulated"
"SLC6A14",2.89214782001988,6.18178040866647,12.4110249297502,1.06658282305008e-27,3.04341790108603e-24,52.1878004775515,"Upregulated"
"CTSE",2.70355918055587,8.752097710319,12.3569144845434,1.61162950737699e-27,3.7292048346408e-24,51.7823619871278,"Upregulated"
"S100A11",1.1179128592276,10.0863870001084,12.3514398409591,1.68032660016858e-27,3.7292048346408e-24,51.7413626323558,"Upregulated"
"CDH3",1.64435851420581,6.60985024499189,12.272909178542,3.05664807563235e-27,5.7313641845287e-24,51.1536838898868,"Upregulated"
"KRT19",2.10697288083252,8.50896073764097,12.268693169459,3.15635356112024e-27,5.7313641845287e-24,51.1221569080213,"Upregulated"
"MMP14",1.17357045325932,8.09424001742671,12.1969684721649,5.44728023333316e-27,9.06699794838304e-24,50.586175922848,"Upregulated"
"ITGA2",2.0121531813258,8.12147945707088,12.14062143034,8.35877525864176e-27,1.2842936693547e-23,50.1656084853449,"Upregulated"
"GPRC5A",1.80406029492213,7.70502428823936,11.9972265990801,2.48019463945737e-26,3.53852912346583e-23,49.0973867193845,"Upregulated"
"MST1R",1.04665559520188,6.53358444908992,11.9756953477518,2.91940515821142e-26,3.88747990867432e-23,48.9372523745403,"Upregulated"
"ITGB4",1.5158907206822,7.64198381677476,11.9633234942705,3.20602602541392e-26,4.0023227394761e-23,48.8452710013044,"Upregulated"
"ASAP2",0.944743298257026,7.65957446727465,11.9154971311761,4.60362908167108e-26,5.38697937962547e-23,48.4899155372718,"Not Significant"
"NQO1",1.7890838175949,7.1899042618304,11.9084767323543,4.85459241179826e-26,5.38697937962547e-23,48.4377829093028,"Upregulated"
"ANXA2P1",0.680958278544122,6.29123248895813,11.8900550705828,5.57990526114789e-26,5.86594882558779e-23,48.3010224492779,"Not Significant"
"PKM",1.00695647471028,9.6926913067578,11.8428185396934,7.97235258756385e-26,7.96198852920002e-23,47.9505876463828,"Upregulated"
"COL10A1",1.39497504211296,6.42086425999049,11.7546105792585,1.55072017210737e-25,1.31986286171669e-22,47.2971562022921,"Upregulated"
"ITGA3",1.56177066768104,7.68129691566751,11.7545847035036,1.55102256869757e-25,1.31986286171669e-22,47.296964704959,"Upregulated"
"MBOAT2",1.50212466546831,6.99331342699331,11.7536119951394,1.56243285822533e-25,1.31986286171669e-22,47.2897661136951,"Upregulated"
"CEACAM5",2.85367817393666,7.32893193078161,11.7508447801686,1.5953532701871e-25,1.31986286171669e-22,47.2692880147766,"Upregulated"
"TMC7",1.35042733762783,6.64643907633919,11.746215753394,1.65197614613584e-25,1.31986286171669e-22,47.2350348626601,"Upregulated"
"MYOF",1.30700610779971,8.7751728720361,11.7167581566724,2.06232553214071e-25,1.58434192996071e-22,47.0171425142505,"Upregulated"
"S100A16",1.2214848230922,8.02812906868668,11.6664144284111,3.0121751322212e-25,2.22834022559208e-22,46.6450964752449,"Upregulated"
